,Address1,Address2,price,postal,street,lats,lons,codes
0,#1407 -5444 YONGE ST,"Toronto, Ontario M2N6J4",1499999.0,M2N 6J4,5444 yonge st,43.77642745,-79.41576625115499,"{'place_id': 110507197, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 34975556, 'boundingbox': ['43.7762449', '43.7766086', '-79.4163304', '-79.4151991'], 'lat': '43.77642745', 'lon': '-79.41576625115499', 'display_name': 'Skyview Apartments, 5444, Yonge Street, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, M2N 5R6, Canada', 'class': 'building', 'type': 'apartments', 'importance': 0.611}"
1,#606 -300 BALLIOL ST,"Toronto, Ontario M4S3G6",548800.0,M4S 3G6,300 balliol st,43.69948615,-79.38709523017789,"{'place_id': 115767978, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 56057412, 'boundingbox': ['43.6992662', '43.6997188', '-79.387486', '-79.3868495'], 'lat': '43.69948615', 'lon': '-79.38709523017789', 'display_name': ""300, Balliol Street, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4S 3H5, Canada"", 'class': 'building', 'type': 'apartments', 'importance': 0.611}"
2,#1207 -5 PARKWAY FOREST DR,"Toronto, Ontario M2J1L2",549000.0,M2J 1L2,5 parkway forest dr,43.7686425,-79.34578852777778,"{'place_id': 109301797, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 31619974, 'boundingbox': ['43.768087', '43.769197', '-79.346071', '-79.345557'], 'lat': '43.7686425', 'lon': '-79.34578852777778', 'display_name': 'York Gardens, 5, Parkway Forest Drive, Parkway Forest, Don Valley North, North York, Toronto, Golden Horseshoe, Ontario, M2J 1M4, Canada', 'class': 'building', 'type': 'apartments', 'importance': 0.711}"
3,#404 -55 WELLESLEY ST E,"Toronto, Ontario M4Y2T6",939000.0,M4Y 2T6,55 wellesley st e,43.6652969,-79.38166188498452,"{'place_id': 115498918, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 55032852, 'boundingbox': ['43.6651601', '43.6654248', '-79.3818679', '-79.3814559'], 'lat': '43.6652969', 'lon': '-79.38166188498452', 'display_name': '55, Wellesley Street East, Church-Wellesley Village, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 2C9, Canada', 'class': 'building', 'type': 'apartments', 'importance': 0.711}"
4,#1707 -375 KING  ST W,"Toronto, Ontario M5V1K1",849000.0,M5V 1K1,375 king  st w,43.6377907,-79.4440035,"{'place_id': 95651830, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4045495, 'boundingbox': ['43.6370383', '43.6383432', '-79.4455095', '-79.4422769'], 'lat': '43.6377907', 'lon': '-79.4440035', 'display_name': 'King Street West, Parkdale, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6R 1A9, Canada', 'class': 'highway', 'type': 'secondary', 'importance': 0.7000000000000001}"
5,#4506 -295 ADELAIDE ST W,"Toronto, Ontario M5V0L4",749000.0,M5V 0L4,295 adelaide st w,43.6480309,-79.3894575,"{'place_id': 217912338, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 553562816, 'boundingbox': ['43.6473153', '43.6486472', '-79.39283', '-79.3865899'], 'lat': '43.6480309', 'lon': '-79.3894575', 'display_name': 'Adelaide Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1R1, Canada', 'class': 'highway', 'type': 'secondary', 'importance': 0.7000000000000001}"
6,#202 -50 FOREST MANOR RD,"Toronto, Ontario M2J0E3",699800.0,M2J 0E3,50 forest manor rd,43.7734386,-79.3447141,"{'place_id': 7413168, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 896763022, 'boundingbox': ['43.7733886', '43.7734886', '-79.3447641', '-79.3446641'], 'lat': '43.7734386', 'lon': '-79.3447141', 'display_name': '50, Forest Manor Road, Parkway Forest, Don Valley North, North York, Toronto, Golden Horseshoe, Ontario, M2J 1M4, Canada', 'class': 'place', 'type': 'house', 'importance': 0.611}"
7,#710 -251 JARVIS ST,"Toronto, Ontario M5B0C3",449900.0,M5B 0C3,251 jarvis st,43.657546234042556,-79.37461538297872,"{'place_id': 41279531, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 401029278, 'boundingbox': ['43.657496234043', '43.657596234043', '-79.374665382979', '-79.374565382979'], 'lat': '43.657546234042556', 'lon': '-79.37461538297872', 'display_name': '251, Jarvis Street, Garden District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 2L1, Canada', 'class': 'place', 'type': 'house', 'importance': 0.611}"
8,#607 -120 HARRISON GARDEN BLVD,"Toronto, Ontario M2N0H1",618800.0,M2N 0H1,120 harrison garden blvd,43.75731495,-79.40372695,"{'place_id': 141306591, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 170051282, 'boundingbox': ['43.7571081', '43.7575218', '-79.4040173', '-79.4034366'], 'lat': '43.75731495', 'lon': '-79.40372695', 'display_name': '120, Harrison Garden Boulevard, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, M2N 0C2, Canada', 'class': 'building', 'type': 'apartments', 'importance': 0.611}"
9,#405 -375 KING ST W,"Toronto, Ontario M5V1K5",576988.0,M5V 1K5,375 king st w,43.6377907,-79.4440035,"{'place_id': 95651830, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4045495, 'boundingbox': ['43.6370383', '43.6383432', '-79.4455095', '-79.4422769'], 'lat': '43.6377907', 'lon': '-79.4440035', 'display_name': 'King Street West, Parkdale, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6R 1A9, Canada', 'class': 'highway', 'type': 'secondary', 'importance': 0.7000000000000001}"
