Address1,Address2,propertyID,listingID,propertyType,price,leasePrice,buildingType,neighbourhood,bathrooms,bedrooms,communityFeatures,nearbyAmenities,storeys,walkscore,transitscore,machineryIncluded,rentalEquipment,parkingType,majorBusinessType,minorBusinessType,totalUnits,landSize,zoningType,interiorFloorSpace,exteriorBuildingSize,franchise,buildingAmenities,buildingStyle,basementDevelopment,notificationUpdate,anchor,retailStorefront,clearCeilingHeight,hasphoto,photos,multimediaFeatures,listingVideoType,city,province,soldData,hasAlternateFeatureSheet,hasOpenHouse,hasVirtualOpenHouse,hasCMHCFTHBBanner,hasTDpreApprovalIcon,hasActiveVirtualOpenHouse,Property Type,Building Type,Community Name,Title,Annual Property Taxes,Parking Type,Time on REALTOR.ca,Above Grade,Total,Features,Building Amenities,Cooling,Heating Type,Exterior Finish,Pool Type,Community Features,Amenities Nearby,Maintenance Fees,Maintenance Management Company,Total Parking Spaces,rooms_info
#108 -15 MCMURRICH ST,"Toronto, Ontario M5R3M6",23837215,C5436277,SingleFamily,1288800.00,,Apartment,,3,2,,,2,,,,,Underground,,,,,,,,,Storage-Locker,,,no,,,,yes,40,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Annex,Condominium/Strata,"$3,605 (CAD)",Underground,2 days,2,3,Balcony,Storage - Locker,Central air conditioning,Forced air (Natural gas),Brick,,,,"$1,255 (CAD) Monthly",Icc Property Management,1,"{'Main level': {'Kitchen': '4.33 m x 2.08 m', 'Living room': '6.42 m x 2.85 m', 'Dining room': '3.2 m x 2.63 m'}, 'Second level': {'Primary Bedroom': '5.38 m x 3.16 m', 'Bedroom': '6.42 m x 2.95 m'}}"
#PH40 -250 WELLINGTON ST W,"Toronto, Ontario M5V3P6",23839395,C5437139,SingleFamily,1299000.00,,Apartment,,2,2,,,,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,ExerciseCentre",,,no,,,,yes,6,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,University,Condominium/Strata,"$5,199.43 (CAD)","Underground, Visitor Parking",1 day,2,2,Balcony,"Storage - Locker, Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,,"$1,327.72 (CAD) Monthly",Nadlan-Harris Property Management Inc.  416-596-0490,1,"{'Main level': {'Kitchen': 'Measurements not available', 'Dining room': 'Measurements not available', 'Living room': 'Measurements not available', 'Primary Bedroom': 'Measurements not available', 'Bedroom 2': 'Measurements not available'}}"
#1801 -75 ST NICHOLAS ST,"Toronto, Ontario M4Y0A5",23830264,C5433784,SingleFamily,399900.00,,Apartment,,1,0,,"PublicTransit,Schools",,,,,,VisitorParking,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre,RecreationCentre",,,no,,,,yes,7,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Bay Street Corridor,Condominium/Strata,"$2,107.99 (CAD)",Visitor Parking,4 days,,1,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre, Recreation Centre",Central air conditioning,Heat Pump,Brick,,,"Public Transit, Schools",$342.89 (CAD) Monthly,First Service Residential,,"{'Flat': {'Living room': '3.2 m x 3.5 m', 'Kitchen': '3.2 m x 3.5 m', 'Other': '1.5 m x 2.8 m'}}"
#3702 -17 BATHURST ST,"Toronto, Ontario M5V0N1",23829222,C5433648,SingleFamily,1290000.00,,Apartment,,2,4,,"Hospital,Park,PublicTransit,Schools",,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,ExerciseCentre",,,no,,,,yes,21,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,$0 (CAD),Underground,4 days,3,2,Balcony,"Storage - Locker, Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Hospital, Park, Public Transit, Schools",$689.95 (CAD) Monthly,Crossbridge Condominium Services Ltd.,1,"{'Main level': {'Bedroom': 'Measurements not available', 'Bedroom 2': 'Measurements not available', 'Bedroom 3': 'Measurements not available', 'Study': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Living room': 'Measurements not available'}}"
#5301 -30 SHORE BREEZE DR,"Toronto, Ontario M8V0J1",23833863,W5434909,SingleFamily,699990.00,,Apartment,,1,2,CommunityCentre,"Hospital,Park",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,37,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Mimico,Condominium/Strata,"$3,110 (CAD)","Underground, Visitor Parking",3 days,1,1,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,Community Centre,"Hospital, Park",$558.94 (CAD) Monthly,Crossbridge Condominium Services Ltd.,1,"{'Main level': {'Living room': 'Measurements not available', 'Dining room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Primary Bedroom': 'Measurements not available', 'Den': 'Measurements not available'}}"
#409 -18 HOLMES AVE,"Toronto, Ontario M2N0E1",23835311,C5435561,SingleFamily,499999.00,,Apartment,,1,1,,"Park,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,24,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Willowdale East,Condominium/Strata,"$1,729.16 (CAD)","Underground, Visitor Parking",3 days,1,1,"Ravine, Balcony","Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,"Park, Schools",$438.14 (CAD) Monthly,Pro-House 647-847-2060,1,"{'Flat': {'Living room': '4.56 m x 2.61 m', 'Dining room': '4.56 m x 2.61 m', 'Kitchen': '2.45 m x 2.13 m', 'Bedroom': '3.05 m x 3.05 m'}}"
#225 -700 HUMBERWOOD BLVD,"Toronto, Ontario M9W7J4",23839533,W5436929,SingleFamily,529955.00,,Apartment,,1,2,,"Hospital,Park,PublicTransit,Schools",,,,,,Underground,,,,,,,,,"Storage-Locker,PartyRoom,ExerciseCentre",,,no,,,,yes,17,Video,,Toronto,Ontario,no,yes,yes,no,yes,no,no,Single Family,Apartment,West Humber-Clairville,Condominium/Strata,"$1,644 (CAD)",Underground,1 day,2,1,Conservation/green belt,"Storage - Locker, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Brick,,,"Hospital, Park, Public Transit, Schools",$485.38 (CAD) Monthly,Gpm Property Management,1,"{'Main level': {'Bedroom': 'Measurements not available', 'Bedroom 2': 'Measurements not available', 'Great room': 'Measurements not available', 'Dining room': 'Measurements not available', 'Bathroom': 'Measurements not available'}}"
#C-56 -35 MARINER TERR,"Toronto, Ontario M5V3V9",23839379,C5437056,Parking,25000.00,,Parking,,0,,,,,,,,,,,,,,,,,,,,,no,,,,yes,2,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Parking,Parking,Waterfront Communities C1,Condominium/Strata,$30.55 (CAD),,1 day,,0,,,,,,,,,$12.05 (CAD) Monthly,Del Property Management,1,{}
#2907 -125 REDPATH AVE,"Toronto, Ontario M4S2J9",23836143,C5435973,SingleFamily,709900.00,,Apartment,,1,2,,,,,,,,Underground,,,,,,,,,,,,no,,,,yes,15,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Mount Pleasant West,Condominium/Strata,"$2,370.73 (CAD)",Underground,2 days,1,1,Balcony,,Central air conditioning,Forced air (Natural gas),Concrete,,,,$413.41 (CAD) Monthly,Menres Property Management,,"{'Flat': {'Living room': '11.91 m x 10.17 m', 'Dining room': '11.91 m x 10.17 m', 'Kitchen': '6.99 m x 8.23 m', 'Primary Bedroom': '9.41 m x 10.5 m', 'Den': '8.82 m x 8.23 m'}}"
#3307 -180 UNIVERSITY AVE,"Toronto, Ontario M5H0A2",23834619,C5435361,SingleFamily,1698000.00,,Apartment,,3,2,,,,,,,,Underground,,,,,,,,,"Storage-Locker,CarWash,Security/Concierge,Sauna,ExerciseCentre",,,no,,,,yes,30,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Bay Street Corridor,Condominium/Strata,"$7,400.35 (CAD)",Underground,3 days,2,3,Balcony,"Storage - Locker, Car Wash, Security/Concierge, Sauna, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,,"$1,487.50 (CAD) Monthly",Brookfield Management,1,"{'Flat': {'Living room': '4.94 m x 3.51 m', 'Dining room': '4.94 m x 3.23 m', 'Kitchen': '4.91 m x 274 m', 'Primary Bedroom': '3.72 m x 2.74 m', 'Bedroom 2': '3.39 m x 3.32 m'}}"
