Address1,Address2,propertyID,listingID,propertyType,price,leasePrice,buildingType,neighbourhood,bathrooms,bedrooms,communityFeatures,nearbyAmenities,storeys,walkscore,transitscore,machineryIncluded,rentalEquipment,parkingType,majorBusinessType,minorBusinessType,totalUnits,landSize,zoningType,interiorFloorSpace,exteriorBuildingSize,franchise,buildingAmenities,buildingStyle,basementDevelopment,notificationUpdate,anchor,retailStorefront,clearCeilingHeight,hasphoto,photos,multimediaFeatures,listingVideoType,city,province,soldData,hasAlternateFeatureSheet,hasOpenHouse,hasVirtualOpenHouse,hasCMHCFTHBBanner,hasTDpreApprovalIcon,hasActiveVirtualOpenHouse,Property Type,Building Type,Community Name,Title,Annual Property Taxes,Parking Type,Time on REALTOR.ca,Above Grade,Total,Features,Building Amenities,Cooling,Heating Type,Exterior Finish,Pool Type,Community Features,Amenities Nearby,Maintenance Fees,Maintenance Management Company,Total Parking Spaces,rooms_info
#3008 -95 MCMAHON DR,"Toronto, Ontario",23811688,C5427602,SingleFamily,1031900.00,,Apartment,,2,3,CommunityCentre,"Hospital,Park,PublicTransit",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,CarWash,Security/Concierge,Sauna,ExerciseCentre",,,no,,,,yes,20,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Bayview Village,Condominium/Strata,$0 (CAD),"Underground, Visitor Parking",12 days,3,2,Balcony,"Storage - Locker, Car Wash, Security/Concierge, Sauna, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,Community Centre,"Hospital, Park, Public Transit",$530.53 (CAD) Monthly,Tbd,,"{'Main level': {'Living room': 'Measurements not available', 'Dining room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Primary Bedroom': 'Measurements not available', 'Bedroom 2': 'Measurements not available', 'Bedroom 3': 'Measurements not available'}}"
#1301 -36 FOREST MANOR RD,"Toronto, Ontario M2J1M5",23804551,C5425186,SingleFamily,639000.00,,Apartment,,1,2,,"Park,PublicTransit,Schools",,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,ExerciseCentre,RecreationCentre",,,no,,,,yes,8,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Henry Farm,Condominium/Strata,$0 (CAD),Underground,15 days,1,1,Balcony,"Storage - Locker, Security/Concierge, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,"Park, Public Transit, Schools",$404.74 (CAD) Monthly,Tba,1,{}
#1166 -313 RICHMOND ST E,"Toronto, Ontario M5A4S7",23779917,C5416882,SingleFamily,875000.00,,Apartment,,2,2,,,,,,,,Underground,,,,,,,,,,,,no,,,,yes,39,"Video,FloorPlan",iGuide,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Moss Park,Condominium/Strata,"$2,951.20 (CAD)",Underground,24 days,2,2,Balcony,,Central air conditioning,Heat Pump (Natural gas),"Brick, Stucco",,,,$631.36 (CAD) Monthly,Del 416.203.3397,1,"{'Main level': {'Living room': 'Measurements not available', 'Dining room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Primary Bedroom': 'Measurements not available', 'Bedroom 2': 'Measurements not available'}}"
#1212 -11 WELLESLEY ST W,"Toronto, Ontario M4Y1E8",23830289,C5433868,SingleFamily,539900.00,,Apartment,,1,1,PetsnotAllowed,"Hospital,Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Security/Concierge,PartyRoom,Sauna,ExerciseCentre",,,no,,,,yes,34,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Bay Street Corridor,Condominium/Strata,$0 (CAD),"Underground, Visitor Parking",5 days,,1,Balcony,"Security/Concierge, Party Room, Sauna, Exercise Centre",Central air conditioning,Forced air (Natural gas),"Brick, Concrete",Indoor pool,Pets not Allowed,"Hospital, Park, Public Transit, Schools",$233.65 (CAD) Monthly,Duka Property Management,,"{'Main level': {'Kitchen': '3.81 m x 3.54 m', 'Living room': '3.81 m x 3.54 m', 'Dining room': '3.81 m x 3.54 m', 'Primary Bedroom': '3.81 m x 3.54 m'}}"
#101 -1 FALAISE RD,"Toronto, Ontario M1E0B9",23813474,E5428120,SingleFamily,489900.00,,Apartment,,1,1,,,,,,,,VisitorParking,,,,,,,,,"PartyRoom,ExerciseCentre",,,no,,,,yes,23,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,West Hill,Condominium/Strata,$0 (CAD),Visitor Parking,12 days,1,1,,"Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Brick,,,,$244.35 (CAD) Monthly,Percel Inc. 905-761-6840,,"{'Main level': {'Living room': '3.47 m x 3.72 m', 'Dining room': '3.47 m x 3.72 m', 'Kitchen': '3.47 m x 3.72 m', 'Bedroom': '3.29 m x 2.68 m'}}"
#901 -1990 BLOOR ST W,"Toronto, Ontario M6P0B6",23766407,W5412337,SingleFamily,799900.00,,Apartment,,1,2,,"Park,PublicTransit",,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,40,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,High Park North,Condominium/Strata,"$2,896.20 (CAD)",Underground,27 days,1,1,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Park, Public Transit",$582.63 (CAD) Monthly,The Meritus Group Management Inc. 905-275-9575,1,"{'Main level': {'Living room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Bedroom': 'Measurements not available', 'Den': 'Measurements not available'}}"
#310 -222 THE ESPLANADE,"Toronto, Ontario M5A4M8",23783183,C5416439,SingleFamily,589000.00,,Apartment,,1,3,CommunityCentre,"Park,PublicTransit,Schools",,,,,,,,,,,,,,,"Security/Concierge,ExerciseCentre",,,no,,,,yes,24,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Waterfront Communities C8,Condominium/Strata,"$1,967.46 (CAD)",,23 days,2,1,,"Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,,Community Centre,"Park, Public Transit, Schools",$853.84 (CAD) Monthly,Shelter Canadian Properties Limited,,"{'Main level': {'Kitchen': '2.67 m x 2.27 m', 'Living room': '5.46 m x 2.92 m', 'Dining room': '5.46 m x 2.92 m', 'Den': '3.23 m x 2.36 m', 'Primary Bedroom': '3.23 m x 3.1 m', 'Bedroom 2': '4.39 m x 2.41 m'}}"
#3205 -32 FOREST MANOR RD W,"Toronto, Ontario M2J1M5",23795187,C5422136,SingleFamily,898800.00,,Apartment,,2,2,,,,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,Apartmentinbasement,no,,,,yes,9,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Henry Farm,Condominium/Strata,$1 (CAD),"Underground, Visitor Parking",18 days,2,2,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),,,,,,Tbd,1,{}
#810 -125 WESTERN BATTERY RD,"Toronto, Ontario M6K3R8",23752022,C5407725,SingleFamily,938000.00,,Apartment,,2,3,,"Park,PublicTransit",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre,RecreationCentre",,,no,,,,yes,19,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Niagara,Condominium/Strata,"$2,895 (CAD)","Underground, Visitor Parking",33 days,2,2,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre, Recreation Centre",Central air conditioning,,"Brick, Concrete",,,"Park, Public Transit",$599.85 (CAD) Monthly,Crossbridge Condominium Services Ltd.,1,"{'Main level': {'Kitchen': 'Measurements not available', 'Living room': 'Measurements not available', 'Dining room': 'Measurements not available', 'Primary Bedroom': 'Measurements not available', 'Bedroom 2': 'Measurements not available', 'Den': 'Measurements not available'}}"
#507 -17 BARBERRY PL,"Toronto, Ontario M2K3E2",23809089,C5426790,SingleFamily,729000.00,,Apartment,,2,2,,"Hospital,PublicTransit",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,Sauna,ExerciseCentre",,,no,,,,yes,11,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Bayview Village,Condominium/Strata,"$2,413.50 (CAD)","Underground, Visitor Parking",13 days,2,2,Balcony,"Storage - Locker, Security/Concierge, Party Room, Sauna, Exercise Centre",Central air conditioning,Forced air (Natural gas),Brick,Indoor pool,,"Hospital, Public Transit",$634.80 (CAD) Monthly,Maple Ridge Community Management,1,"{'Flat': {'Living room': '3.51 m x 6.77 m', 'Dining room': '3.51 m x 6.77 m', 'Kitchen': '2.14 m x 2.44 m', 'Bedroom': '3.28 m x 2.74 m', 'Bedroom 2': '2.73 m x 2.74 m', 'Foyer': '3.65 m x 1.83 m'}}"
